id,predicted_result_type,sentence_year,sentence_months,sentence_days,sentence_hours,is_suspended,suspension_years,suspension_months,fine_is_fixed,fine_amount,drug_weight,entry_date,result_date,court,codex_articles,result_type,region,gender_group,is_weight_missing
10195733,условное осуждение,0.0,0.0,0.0,0.0,False,0.0,0.0,False,0.0,,2018-10-22,2018-08-11,Хасанский районный суд (Приморский край),228 ч.1 УК,Уголовное дело ПРЕКРАЩЕНОПрекращение уголовного дела В СВЯЗИ С ДЕЯТЕЛЬНЫМ РАСКАЯНИЕМ,Приморский край,муж,True
10081325,условное осуждение,0.0,0.0,0.0,0.0,False,0.0,0.0,True,12000.0,,2020-12-29,,Трусовский районный суд г. Астрахани (Астраханская область),228 ч.1 УК,Вынесен ПРИГОВОР,Астраханская область,муж,True
10034531,условное осуждение,0.0,0.0,0.0,400.0,False,0.0,0.0,True,0.0,25.8,2022-06-30,2022-10-08,Яковлевский районный суд (Белгородская область),228 ч.1 УК,Вынесен ПРИГОВОР,Белгородская область,муж,False
10276349,условное осуждение,3.0,0.0,0.0,0.0,True,2.0,2.0,True,50000.0,2.88,2023-08-09,,Ленинский районный суд г. Магнитогорска (Челябинская область),228 ч.2 УК,Вынесен ПРИГОВОР,Челябинская область,муж,False
10074011,штраф,0.0,0.0,0.0,0.0,False,0.0,0.0,False,0.0,,2020-04-22,,Калининский районный суд г. Тюмени (Тюменская область),228 ч.2 УК,ВОЗВРАЩЕНО ПРОКУРОРУ или РУКОВОДИТЕЛЮ СЛЕДСТВЕННОГО ОРГАНАОБВИНИТЕЛЬНОЕ ЗАКЛЮЧЕНИЕ (обв. акт) СОСТАВЛЕНЫ С НАРУШЕНИЕМ т,Тюменская область,муж,True
10216168,штраф,0.0,0.0,0.0,0.0,False,0.0,0.0,False,0.0,,2018-11-12,,Зольский районный суд (Кабардино-Балкарская Республика),228 ч.1 УК,Уголовное дело ПРЕКРАЩЕНОназначена мера уголовно-правового характера - СУДЕБНЫЙ ШТРАФ (ст. 25.1 УПК РФ),Кабардино-Балкарская Республика,муж,True
9981553,условное осуждение,0.0,0.0,0.0,60.0,False,0.0,0.0,True,0.0,0.25,2021-07-30,2021-08-09,Приозерский городской суд (Ленинградская область),228 ч.1 УК,Вынесен ПРИГОВОР,Ленинградская область,муж,False
9974447,условное осуждение,0.0,0.0,0.0,0.0,False,0.0,0.0,False,0.0,,2018-01-31,,Кяхтинский районный суд (Республика Бурятия),228 ч.1 УК,Применены ПРИНУДИТЕЛЬНЫЕ МЕРЫ МЕДИЦИНСКОГО ХАРАКТЕРА,Республика Бурятия,неизвестно,True
10195570,условное осуждение,4.0,6.0,0.0,0.0,False,0.0,0.0,True,0.0,133.4,2019-02-11,2019-02-04,Урванский районный суд (Кабардино-Балкарская Республика),228 ч.2 УК,Вынесен ПРИГОВОР,Кабардино-Балкарская Республика,муж,False
9984207,штраф,0.0,0.0,0.0,0.0,False,0.0,0.0,False,0.0,,2018-04-13,,Новосибирский областной суд (Новосибирская область),228 ч.1 УК,Вынесен ПРИГОВОР,Новосибирская область,муж,True
10240347,условное осуждение,1.0,0.0,0.0,0.0,True,1.0,0.0,True,0.0,0.42,2018-08-31,,Таганрогский городской суд (Ростовская область),228 ч.1 УК,Вынесен ПРИГОВОР,Ростовская область,муж,False
10059188,условное осуждение,3.0,3.0,0.0,0.0,True,3.0,0.0,True,0.0,1.14,2018-10-24,2018-08-11,Кировский районный суд г. Томска (Томская область),228 ч.2 УК,Вынесен ПРИГОВОР,Томская область,муж,False
10211533,условное осуждение,1.0,6.0,0.0,0.0,False,0.0,0.0,True,0.0,0.45,2019-11-28,,Губкинский городской суд (Белгородская область),228 ч.1 УК,Вынесен ПРИГОВОР,Белгородская область,муж,False
10201039,условное осуждение,0.0,6.0,0.0,0.0,True,0.0,6.0,True,0.0,0.38,2021-02-18,,Советский районный суд г. Челябинска (Челябинская область),228 ч.1 УК,Вынесен ПРИГОВОР,Челябинская область,муж,False
10024319,условное осуждение,1.0,0.0,0.0,0.0,True,1.0,6.0,True,0.0,77.28,2018-01-18,2018-09-02,Октябрьский районный суд (Приморский край),228 ч.1 УК,Вынесен ПРИГОВОР,Приморский край,муж,False
10189743,условное осуждение,3.0,0.0,0.0,0.0,True,1.0,1.0,True,0.0,1.0,2020-11-27,,Первомайский районный суд г. Ижевска (Удмуртская Республика),228 ч.2 УК,Вынесен ПРИГОВОР,Удмуртская Республика,муж,False
10033446,штраф,0.0,0.0,0.0,0.0,False,0.0,0.0,False,0.0,,2021-03-29,,Октябрьский районный суд г. Пензы (Пензенская область),228 ч.2 УК,Вынесен ПРИГОВОР,Пензенская область,муж,True
10088696,условное осуждение,3.0,0.0,0.0,0.0,True,3.0,0.0,True,0.0,23.0,2022-05-04,,Гусиноозерский городской суд (Республика Бурятия),228 ч.2 УК,Вынесен ПРИГОВОР,Республика Бурятия,жен,False
10288557,условное осуждение,0.0,0.0,0.0,0.0,False,0.0,0.0,False,0.0,,2022-02-28,,Первореченский районный суд г. Владивостока (Приморский край),228 ч.1 УК,Вынесен ПРИГОВОР,Приморский край,неизвестно,True
10540182,условное осуждение,3.0,0.0,0.0,0.0,True,0.0,0.0,True,0.0,3.24,2024-02-01,,Красногорский городской суд (Московская область),228 ч.2 УК,Вынесен ПРИГОВОР,Московская область,муж,False
10025163,условное осуждение,0.0,5.0,0.0,0.0,False,0.0,0.0,True,10000.0,22.4,2021-04-19,2021-12-05,Железнодорожный районный суд г. Улан-Удэ (Республика Бурятия),228 ч.1 УК,Вынесен ПРИГОВОР,Республика Бурятия,муж,False
10184467,условное осуждение,0.0,0.0,0.0,0.0,False,0.0,0.0,True,0.0,3.827,2024-03-29,2024-10-09,Усть-Кутский городской суд (Иркутская область),228 ч.2 УК,Вынесен ПРИГОВОР,Иркутская область,муж,False
10455373,условное осуждение,0.0,0.0,0.0,0.0,False,0.0,0.0,False,0.0,,2020-09-11,2020-05-10,Магарамкентский районный суд (Республика Дагестан),228 ч.1 УК,Применены ПРИНУДИТЕЛЬНЫЕ МЕРЫ МЕДИЦИНСКОГО ХАРАКТЕРА,Республика Дагестан,неизвестно,True
10247240,штраф,0.0,0.0,0.0,0.0,False,0.0,0.0,True,15000.0,13.22,2021-03-01,,Каспийский городской суд (Республика Дагестан),228 ч.1 УК,Вынесен ПРИГОВОР,Республика Дагестан,муж,False
10254720,условное осуждение,0.0,0.0,0.0,0.0,True,0.0,0.0,True,0.0,4.046,2021-10-21,,Уссурийский районный суд (Приморский край),228 ч.1 УК,Вынесен ПРИГОВОР,Приморский край,муж,False
9978841,условное осуждение,1.0,1.0,0.0,0.0,False,0.0,0.0,True,25000.0,0.24,2018-12-27,,Узловский районный суд (Тульская область),228 ч.1 УК,Вынесен ПРИГОВОР,Тульская область,муж,False
10107102,штраф,0.0,0.0,0.0,0.0,False,0.0,0.0,True,5000.0,,2020-07-22,,Ленинский районный суд г. Тюмени (Тюменская область),228 ч.1 УК,Вынесен ПРИГОВОР,Тюменская область,жен,True
10285942,условное осуждение,0.0,0.0,0.0,0.0,False,0.0,0.0,True,0.0,5.234,2020-04-29,,Дзержинский районный суд г. Нижний Тагил (Свердловская область),228 ч.2 УК,Вынесен ПРИГОВОР,Свердловская область,муж,False
