id,predicted_result_type,sentence_year,sentence_months,sentence_days,sentence_hours,is_suspended,suspension_years,suspension_months,fine_is_fixed,fine_amount,drug_weight,predicted_amount,drug_weight.1,entry_date,result_date,result_type,court_city,region,latitude,longitude,sentence_total_months,sentence_type,has_fine,fine_category,accuracy_flag,log_fine,log_weight,region_group
10195733,условное осуждение,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,значительный,,22.10.2018,8.11.2018,Уголовное дело ПРЕКРАЩЕНОПрекращение уголовного дела В СВЯЗИ С ДЕЯТЕЛЬНЫМ РАСКАЯНИЕМ,п. Славянка,Приморский край,43.1155,131.8855,0.0,,Нет,Нет штрафа,Разнится,0.0,0.0,Центр
10081325,условное осуждение,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12000.0,,значительный,,29.12.2020,22.1.2021,Вынесен ПРИГОВОР,г. Астрахань,Астраханская область,46.3497,48.0408,0.0,,Да,10k–50k₽,Разнится,9.392745258631441,0.0,Центр
10034531,условное осуждение,0.0,0.0,0.0,400.0,0.0,0.0,0.0,1.0,0.0,25.8,значительный,"25,8",30.6.2022,10.8.2022,Вынесен ПРИГОВОР,г. Строитель,Белгородская область,50.767,37.45,0.0,,Нет,Нет штрафа,Разнится,0.0,3.288401887516811,Центр
10276349,условное осуждение,3.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,50000.0,2.88,значительный,"2,88",9.8.2023,30.8.2023,Вынесен ПРИГОВОР,г. Магнитогорск,Челябинская область,55.1644,61.4368,36.0,,Да,50k+₽,Разнится,10.819798284210286,1.355835153635182,Центр
10074011,штраф,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,значительный,,22.4.2020,29.5.2020,ВОЗВРАЩЕНО ПРОКУРОРУ или РУКОВОДИТЕЛЮ СЛЕДСТВЕННОГО ОРГАНАОБВИНИТЕЛЬНОЕ ЗАКЛЮЧЕНИЕ (обв. акт) СОСТАВЛЕНЫ С НАРУШЕНИЕМ т,г. Тюмень,Тюменская область,57.153,65.5272,0.0,,Нет,Нет штрафа,Разнится,0.0,0.0,Центр
10216168,штраф,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,значительный,,12.11.2018,20.11.2018,Уголовное дело ПРЕКРАЩЕНОназначена мера уголовно-правового характера - СУДЕБНЫЙ ШТРАФ (ст. 25.1 УПК РФ),п. Залукокоаже,Кабардино-Балкарская Республика,43.4858,43.607,0.0,,Нет,Нет штрафа,Разнится,0.0,0.0,Центр
9981553,условное осуждение,0.0,0.0,0.0,60.0,0.0,0.0,0.0,1.0,0.0,0.25,значительный,"0,25",30.7.2021,8.9.2021,Вынесен ПРИГОВОР,г. Приозерск,Ленинградская область,59.9386,30.3141,0.0,,Нет,Нет штрафа,Разнится,0.0,0.22314355131420976,Центр
9974447,условное осуждение,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,значительный,,31.1.2018,18.4.2018,Применены ПРИНУДИТЕЛЬНЫЕ МЕРЫ МЕДИЦИНСКОГО ХАРАКТЕРА,г. Кяхта,Республика Бурятия,51.8335,107.5842,0.0,,Нет,Нет штрафа,Разнится,0.0,0.0,Центр
10195570,условное осуждение,4.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,133.4,значительный,"133,4",11.2.2019,2.4.2019,Вынесен ПРИГОВОР,г. Нарткала,Кабардино-Балкарская Республика,43.4858,43.607,54.0,,Нет,Нет штрафа,Разнится,0.0,4.900820428089049,Центр
9984207,штраф,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,крупный,,13.4.2018,18.5.2018,Вынесен ПРИГОВОР,г. Новосибирск,Новосибирская область,55.0084,82.9357,0.0,,Нет,Нет штрафа,Разнится,0.0,0.0,Центр
10240347,условное осуждение,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.42,значительный,"0,42",31.8.2018,27.9.2018,Вынесен ПРИГОВОР,г. Таганрог,Ростовская область,47.2357,39.7015,12.0,,Нет,Нет штрафа,Разнится,0.0,0.35065687161316933,Центр
10059188,условное осуждение,3.0,3.0,0.0,0.0,1.0,3.0,0.0,1.0,0.0,1.14,значительный,"1,14",24.10.2018,8.11.2018,Вынесен ПРИГОВОР,г. Томск,Томская область,56.501,84.9925,39.0,,Нет,Нет штрафа,Разнится,0.0,0.76080582903376,Центр
10211533,условное осуждение,1.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.45,значительный,"0,45",28.11.2019,27.12.2019,Вынесен ПРИГОВОР,г. Губкин,Белгородская область,50.767,37.45,18.0,,Нет,Нет штрафа,Разнится,0.0,0.37156355643248307,Центр
10201039,условное осуждение,0.0,6.0,0.0,0.0,1.0,0.0,6.0,1.0,0.0,0.38,крупный,"0,38",18.2.2021,30.3.2021,Вынесен ПРИГОВОР,г. Челябинск,Челябинская область,55.1644,61.4368,6.0,,Нет,Нет штрафа,Разнится,0.0,0.32208349916911333,Центр
10024319,условное осуждение,1.0,0.0,0.0,0.0,1.0,1.0,6.0,1.0,0.0,77.28,значительный,"77,28",18.1.2018,9.2.2018,Вынесен ПРИГОВОР,с. Покровка,Приморский край,43.1155,131.8855,12.0,,Нет,Нет штрафа,Разнится,0.0,4.360292142527875,Центр
10189743,условное осуждение,3.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,значительный,1,27.11.2020,17.12.2020,Вынесен ПРИГОВОР,г. Ижевск,Удмуртская Республика,56.8526,53.2045,36.0,,Нет,Нет штрафа,Разнится,0.0,0.6931471805599453,Центр
10033446,штраф,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,крупный,,29.3.2021,30.4.2021,Вынесен ПРИГОВОР,г. Пенза,Пензенская область,53.175,45.0348,0.0,,Нет,Нет штрафа,Разнится,0.0,0.0,Центр
